type,review,star,date,site
푸르밀 검은콩우유,맛있어요 홓ㅎㅎㅎㅎ,5,220215,롯데마트
푸르밀 검은콩우유,고소하고 밋좋고 배송이 빨라요,5,220214,GS 프레시몰
푸르밀 검은콩우유,유통기한이쫌짧네요.아쉬워요,5,220214,GS 프레시몰
푸르밀 검은콩우유,맛있어요~ 검은콩 맛이 진하게 느껴집니다,5,220212,롯데마트
푸르밀 검은콩우유,올만에 ㅇ검은콩우유먹구싶어서 구입햇어요,5,220211,GS 프레시몰
푸르밀 검은콩우유,"포장은 늘 꼼꼼히 보내주시네요
이번엔 유통기간이 딱 일주일로 보내주셔서
예전보다 조금 짧았습니다",5,220210,푸르밀 공식 스토어
푸르밀 검은콩우유,"검은콩우유 너무맛있어요!!
유통기한도 넉넉합니다",5,220209,롯데마트
푸르밀 검은콩우유,"검은콩우유 고소하고 맛있어요
아침대용으로 마시고 있어요",4,220206,롯데마트
푸르밀 검은콩우유,고소하고 달콤하니 맛있네요,4,220205,롯데마트
푸르밀 검은콩우유,항상 맛있게먹고있ㅇ요. 늘 있지는 않아서장바구니에 담아두고 있어요,5,220204,GS 프레시몰
푸르밀 검은콩우유,유통기한두넉넉하구포장꼼꼼히잘되어있네요,5,220204,GS 프레시몰
푸르밀 검은콩우유,고소하고 깔끔하게 먹고 배송도 빨라요,5,220204,GS 프레시몰
푸르밀 검은콩우유,"고소 달달한 우유요
두유보다 맛있어요
흔들어드세요",5,220203,롯데마트
푸르밀 검은콩우유,아주 맛있습니다 맛있어요,5,220203,롯데마트
푸르밀 검은콩우유,제입엔 좀 달아서 별로였어요ㅋ 단 두유 좋아하시는 분들은 좋아하실듯요,3,220131,롯데마트
푸르밀 검은콩우유,배송이 빨라서 싱싱한 우유 라서좋인요,5,220130,GS 프레시몰
푸르밀 검은콩우유,맛있어서 재구매하러 왔습니다,4,220126,롯데마트
푸르밀 검은콩우유,남편이 젤 좋아하는 검은콩우유 몇번째구매인지 모르겠네요 푸르밀 제품이랑 같은 것 같은데 원유가 달라요,5,220125,GS 프레시몰
푸르밀 검은콩우유,고소하고 아주 맛나고 먹기 편함이다,5,220124,GS 프레시몰
푸르밀 검은콩우유,고소하고 넘 맛있어요,5,220124,롯데마트
푸르밀 검은콩우유,빠른배송감사합니다 좋아요,5,220124,GS 프레시몰
푸르밀 검은콩우유,~.~.~.~.~.~.,5,220124,롯데마트
푸르밀 검은콩우유,잘구입햇어영 감사합니당,5,220123,롯데마트
푸르밀 검은콩우유,배송 빠르고 좋아요,5,220122,롯데마트
푸르밀 검은콩우유,"1월21일까지네요 유통기한이....
푸르밀 검은콩 우유 자주 먹는데 여기선 처음 구매해봤습니다.
유통기한 짧은 제품으로 보내주셔서 별 한갠 뺐습니다.
배송은 빠르네요
겨울이라 아이스박스에 아이스팩 하나 넣어왔는데 하나도 안녹고 왔습니다
5시경 택배 수령했구요
여름엔 아이스팩 더 넣어 주시겠죠?
다음에 시킬땐 유통기한 좀 더 긴걸로 보내주시면 감사하겠습니다.
4개 구성품입니다.",4,220115,푸르밀 공식 스토어
푸르밀 검은콩우유,최근에 생각나서 2번째 재구매 고소해요,5,220112,롯데마트
